id,text,canonical_intent,slot_type,slot_value,notes
Nav_1,Bue app no,open_app,,,"Open the app"
Nav_2,Kɔ fie,go_home,,,
Nav_3,San w'akyi,go_back,,,
Nav_4,Kɔ w'anim,continue,,,"Next / forward"
Nav_5,Kɔ soro,scroll_up,,,
Nav_6,Kɔ fam,scroll_down,,,
Nav_7,Kɔ cart no mu,show_cart,,,
Nav_8,Kɔ me account,open_account,,,
Nav_9,Kɔ me orders,open_orders,,,
Nav_10,Kɔ wishlist no mu,open_wishlist,,,
Nav_11,Kɔ home,go_home,,,"Variant of go_home"
Nav_12,Kɔ homepage,go_home,,,"Variant of go_home"
Nav_13,San kɔ,go_back,,,"Variant phrasing"
Nav_14,Kɔ w'anim,continue,,,"Duplicate forward variant"
Nav_15,Kɔ cart,show_cart,,,"Variant of show_cart"
Nav_16,Kɔ shopping cart,show_cart,,,"Variant of show_cart"
Nav_17,Kɔ me akawnt,open_account,,,"Alternate spelling"
Nav_18,Kɔ me akawnt no mu,open_account,,,"Alternate spelling"

Search_1,Hwehwɛ ntadeɛ,search,category,clothing,
Search_2,Hwehwɛ mfidie,search,category,electronics,
Search_3,Hwehwɛ mpaboa,search,category,shoes,
Search_4,Hwehwɛ fie nnoɔma,search,category,home_items,
Search_5,Hwehwɛ nnuane,search,category,groceries,
Search_6,Hwehwɛ nkitahodie,search,category,accessories,
Search_7,Hwehwɛ adeɛ a ɛyɛ cheap,search,qualifier,cheap,
Search_8,Hwehwɛ adeɛ foforɔ,search,qualifier,new,
Search_9,Hwehwɛ adeɛ kɛse,search,size,large,
Search_10,Hwehwɛ adeɛ ketewa,search,size,small,
Search_11,Hwehwɛ ntoma,search,category,textiles,
Search_12,Hwehwɛ electronics,search,category,electronics,"English loan"
Search_13,Hwehwɛ ataadeɛ,search,category,clothing,"Synonym"
Search_14,Hwehwɛ efie adeɛ,search,category,home_items,"Variant"
Search_15,Hwehwɛ aduane,search,category,groceries,"Variant"
Search_16,Hwehwɛ akyɛdeɛ,search,category,gifts,
Search_18,Hwehwɛ accessories,search,category,accessories,"English loan"

FilterSort_1,Fa filter fa so,apply_filter,,,
FilterSort_2,Yi filter no,clear_filter,,,
FilterSort_3,Fa boɔ ketewa to so,apply_filter,price_range,low,"Price low threshold"
FilterSort_4,Fa boɔ kɛse to so,apply_filter,price_range,high,"Price high threshold"
FilterSort_5,Fa rating kɛse to so,apply_filter,rating,high,
FilterSort_6,Sort by price ketewa mu,sort_items,sort_key,price_asc,
FilterSort_7,Sort by price kɛse mu,sort_items,sort_key,price_desc,
FilterSort_8,Sort by popular,sort_items,sort_key,popular,
FilterSort_9,Sort by foforɔ,sort_items,sort_key,newest,
FilterSort_10,Fa delivery ntɛm to so,fast_delivery,,,
FilterSort_11,Hyɛ filter,apply_filter,,,"Apply filter variant"
FilterSort_12,Pepa filter no,clear_filter,,,"Clear filter variant"
FilterSort_13,Fa boɔ ketewa di kan,sort_items,sort_key,price_asc,"Sort phrasing"
FilterSort_14,Fa boɔ kɛse di kan,sort_items,sort_key,price_desc,"Sort phrasing"
FilterSort_15,Fa rating kɛse di kan,sort_items,sort_key,rating_desc,
FilterSort_16,Fa foforɔ di kan,sort_items,sort_key,newest,"Sort newest variant"

Product_1,Kyerɛ adeɛ yi ho nsɛm,show_description,,,
Product_2,Kyerɛ adeɛ no boɔ,show_price,,,
Product_3,Kyerɛ reviews,show_reviews,,,
Product_4,Kyerɛ nea ɛte sɛ yei,show_similar_items,,,
Product_5,Fa yei to wishlist,save_for_later,,,
Product_6,Fa yei to cart,add_to_cart,,,
Product_7,Yi yei firi cart no mu,remove_from_cart,,,
Product_8,Fa baako ka ho,change_quantity,delta,+1,
Product_9,Yi baako,change_quantity,delta,-1,
Product_10,Pepa cart no,clear_cart,,,
Product_11,Fa yei ka me wishlist,save_for_later,,,"Wishlist variant"
Product_12,Fa yei ka me cart,add_to_cart,,,"Add variant"
Product_13,Yi yei firi me cart,remove_from_cart,,,"Remove variant"
Product_14,Fa baako bio,change_quantity,delta,+1,"Add another variant"
Product_15,Yi baako pɛ,change_quantity,delta,-1,"Remove one variant"
