id,text,canonical_intent,slot_type,slot_value,notes
# =========================
# Lean E-commerce Voice Prompt Set with Slot Annotations
# Strategy:
#  - Keep only high-impact intents (≈30) that map directly to backend or UI actions
#  - Everything else becomes slot variation (brand, category, size, color, price_range, rating, sort_key, delta, quantity)
#  - Removed low early-value or redundant prompts: scroll_up/down, open_app, cancel_checkout (folded into cancel_order), media upload support, separate fast_delivery intent (now filter with slot), voucher (folded into coupon), # open_delivery_options (checkout stage)
filter_apply_fast_delivery_1,Fa ntɛm delivery to so,apply_filter,qualifier,fast_delivery,
#  - Consolidated similar product info queries
#  - Added synthetic absolute quantity examples (set_quantity)
# Intents kept:
# Navigation: go_home, go_back, continue, show_cart, open_account, open_orders, open_wishlist
# Discovery: search, apply_filter, clear_filter, sort_items, show_similar_items
# Product info: show_description, show_price, show_reviews
# Cart/Purchase: add_to_cart, remove_from_cart, change_quantity, set_quantity, clear_cart, save_for_later, checkout, confirm_order, make_payment, cancel_order
# Post-purchase: track_order, show_order_status, refund_status, return_item, exchange_item
# Addresses: show_addresses, add_address, remove_address, set_default_address
# Promotions: apply_coupon, remove_coupon
# Notifications: enable_order_updates, disable_order_updates, enable_price_alert, disable_price_alert
# Support/Help: help, start_live_chat, show_faqs
# Variants: select_color, select_size, change_color, change_size
# Slots used:
#  - category, brand, qualifier, price_range, rating, sort_key, color, size, delta, quantity, context, payment_method
# =========================

# ---- Navigation ----
nav_home_1,Kɔ fie,go_home,,,
nav_home_2,Kɔ home,go_home,,,"variant"
nav_home_3,Kɔ homepage,go_home,,,"variant"
nav_back_1,San w'akyi,go_back,,,
nav_back_2,San kɔ,go_back,,,"variant"
nav_forward_1,Kɔ w'anim,continue,,,
nav_cart_1,Kɔ cart no mu,show_cart,,,
nav_cart_2,Kɔ cart,show_cart,,,"variant"
nav_wishlist_1,Kɔ wishlist no mu,open_wishlist,,,
nav_account_1,Kɔ me account,open_account,,,
nav_account_2,Kɔ me akawnt,open_account,,,"spelling variant"
nav_orders_1,Kɔ me orders,open_orders,,,

# ---- Search / Discovery (slot-driven) ----
search_cat_clothing_1,Hwehwɛ ntadeɛ,search,category,clothing,
search_cat_electronics_1,Hwehwɛ mfidie,search,category,electronics,
search_cat_shoes_1,Hwehwɛ mpaboa,search,category,shoes,
search_cat_home_1,Hwehwɛ fie nnoɔma,search,category,home_items,
search_cat_food_1,Hwehwɛ nnuane,search,category,groceries,
search_cat_gifts_1,Hwehwɛ akyɛdeɛ,search,category,gifts,
search_brand_apple_1,Hwehwɛ brand Apple,search,brand,Apple,
search_brand_nike_1,Hwehwɛ brand Nike,search,brand,Nike,
search_brand_adidas_1,Hwehwɛ brand Adidas,search,brand,Adidas,
search_brand_samsung_1,Hwehwɛ brand Samsung,search,brand,Samsung,
search_brand_techo_1,Hwehwɛ brand Tecno,search,brand,Tecno,
search_brand_infinix_1,Hwehwɛ brand Infinix,search,brand,Infinix,
search_qualifier_new_1,Hwehwɛ adeɛ foforɔ,search,qualifier,new,
search_qualifier_cheap_1,Hwehwɛ adeɛ a ɛyɛ cheap,search,qualifier,cheap,
search_size_large_1,Hwehwɛ adeɛ kɛse,search,size,large,
search_size_small_1,Hwehwɛ adeɛ ketewa,search,size,small,

# ---- Filters & Sorting ----
filter_apply_generic_1,Fa filter fa so,apply_filter,,,
filter_apply_price_low_1,Fa boɔ ketewa to so,apply_filter,price_range,low,
filter_apply_price_high_1,Fa boɔ kɛse to so,apply_filter,price_range,high,
filter_apply_rating_high_1,Fa rating kɛse to so,apply_filter,rating,high,
filter_clear_1,Yi filter no,clear_filter,,,
sort_price_low_1,Sort by price ketewa mu,sort_items,sort_key,price_asc,
